খুলেনা	Don't open
ক্যাম্পাসটা	The campus
আগামিতে	In the future
বেপরোয়া	Reckless
লাক	Luck
তো	So
এটিও	It's also
পাশি	Pass
উঠানোর	Lifting
ভ্যাগহ	Vagh
রোজ	Every day
ভেতরে	Inside
লাগাইয়া	Put on
ঠকবেন	Cheat
বারাক	Barack
কীনা	Buy it
ভারতীয়দের	Indians
পুট‌কির	Put Kir
স্পট	Spot
ছেলের	Son
এটাও	It's also
বঙ্গবন্ধু	Bangabandhu
স্কাউটের	Scouts
গুবলেট	Gublet
ফেব্রুয়ারিতে	In February
ফলাফল	Results
লাভের	Profit
আশাকরি	I hope so.
পশ্চিমা	Western
ভরসায়	In trust
রাখবা	Keep
তার	His
ধুকে	Washed up
জিল্লুর	Zillur
আবারও	Again.
ভালোবাসে	Love it.
সাহিত্যের	Literature
ভার্সেটাইল	Versatile
সৌজন্য	Courtesy
ফিরত	Reverting
র‍্যাগ	Rag
দাবির	Claims
কেশবপুর	Keshabpur
আহামরির	Ahamri
গুইরা	Guerra
অর্থাত	i.e.
যুতসই	Fair enough
দিতেচে	Deitche
পুলিশগুলোকে	To the police
কালেক্টরেট	Collectorate
ফক্স	Fox
রাবিশ	Rabish
কাউয়ার	Kauer
দালার	Dalar
ছেঁচড়ামি	Vandalism
দেলাম	I gave
হিজলা	Hijla
রামেন	Ramen
হিল্লোলরা	Hillols
জংগা	Junga
পুলিশবাহিনী	Police force
৫০০০	5000
বলবেনা	Don't say
তারিখ	Date
যথারীতি	As usual
ছাত্রবয়েসের	Student age
ওলে	Ole
বরসন	Borson
এগিয়েছে	Moving on
আনুযায়ী	According to
সরাসরি	Directly
ভ্রাম্যমাণ	Mobile
ওদিকে	On the other side
রেস্টুরেন্টটি	The restaurant
ই	E
দৱ	Dave
বিস্মিল্লাহি	Bismillahi
আপনারটাই	Yours
বিডিও	BDO
ভলোবাসি	Volobasi
নেওয়ার	Taking
কমেন্টগুলো	Comments
উল্টায়ে	Inverted
কাপাসিয়া	Kapasia
গর্ববোত	Proudbot
কভার	Cover
বুদ্ধিমান	Intelligent
ঘষে	Rubbing
দামী	Expensive
বেজাল	Bezal
পরিণত	Became
হেলিপ্যাড	Helipad
থাকুনওখানে	Stay here.
ডেসক্রাইব	Describ
মিত্রা	Mitra
দিককার	Direction
ভূলতা	Error
খুভি	Khuvi
সংলগ্ন	Adjacent
বইসা	Books
যাইব	I'll go
জবেহ	Jabeh
বারকাতিল্লা	Barkatilla
সুদ্দারানুর	Suddaranur
টুকরো	Pieces
লাব	Lab
গত১৯	Last19
মুসলমান	Muslim
রিপিট	Repeat
চান্দে	Chande
পেজে	On the page
শি	Shi
বিশ্রী	Awkward
ভূলেন	Forgotten
দোয়া	Prayers
তেমুন	Temun
বিপদ	Danger
ভাতই	Rice
বাইকটি	The bike
সেদিকে	Towards that.
ফোনর	Phoner
দারজিলিং	Darziling
আল	Al
চুদো	
হাইজ্যাকার	Hijacker
ব্যাটসম্যান	Batsman
দিবে	Will
ফেসবুকজুড়ে	Across Facebook
পুষিয়ে	Compensated
কতৃপক্ষের	Authority
ঘুরছিস	You're moving around
কেলা	Kela
অনন্ত	Infinity
মাম	Ma'am
গুলোই​	That's it.
হন্যে	In the fall
বিজয়ী	Winner
বাসনে	In the bass
পক্ষের	Party
হ্যালিপ্যাড	Helipad
জাযা	Zaza
ইফতারি	Iftar
দেয়ার	Giving
এতোটা	So much
লেবু	Lemon
গুলাকে	Gulak
সিদা	Sida
হায়দ্রাবাদি	Hyderabadi
ইমিডিয়েট	Intermediate
অভিশপ্ত	Cursed
বিস্তার	Take
দূড়ে	The dodge
অকাজ	Useless
ব্যাপারটা	The thing
সুুধু	Good
স্বপ্নকেও	Dreams too.
ফজলুকে	Fazlu
রুপির	Rupees
তাহমিদ	Tahmid
বুজলো	Understood
পাচ্ছিনা	I can't find
পসন্দ	Likes
ঘুম	Sleep
দিলুম	Dilum
এসেছে	Came
বাচ্চারও	The child too.
করলেন	He
বিখ্যাতো	Famous
কালিয়া	Kalia
তুমি	you
বডার	Bader
নানান	Many
জানোয়ারে	In the beast
ঘেউ	Ghew
ইসতিস্কার	Istiskar
নাস্তকের	Nostalgia
দিয়েই	With
প্রতিদান	Reward
একারণেই	That's why
মুসলিমরাই	Muslims
রিলিজ	Release
দেখায়	Shows
কোটি	Crore
ট্রাইবুনাল	Tribunal
জনসংখ্যাবৃদ্ধির	Population growth
ছেপে	Printed
বাবাজান	Dad knows.
ইসলামীক	Islamic
রাজা	King
ফেলবো	I'll drop
আপুটার	Aputar
কীভাবে	How
শিখবো	I'll learn
দানদা	Charity
কুকুর	Dogs
রুপান্তর	Conversion
আদর্শ	Standard
পাল্টাছ	Changed
অভিযোগ	Complaint
নাকিরে	Or
পালায়	Escape
বুঝতামই	I understood.
রোচি	Rocchi
মুসলমানের	Muslims
সারপ্রাইজ	Surprise
মুখে	In the face
খাইছস	You eat
হয়নাই	It didn't.
মৃত	Dead
কাভার	Cover
আইডিওলজির	Ideology
দিতেন	He gave
সবজিগুলো	Vegetables
ফেরদৌসীর	Ferdousi
তামিম	Tamim
মহা‌দেশ	Great country
ভাসবো	Floating
অভিবাসী	Immigrants
ধানমণ্ডি	Dhanmondi
কাবু	Kabu
ঘুরায়	Turning around
কুচবিহারের	Behar
খায়না	Don't eat
কেরি	Kerry
দিলি	Dili
ওপরই	On top of
ব্যারাশ	Barash
দোয়াকরি	I pray
সি	C
যাচ্ছে	Be
ছিনিয়ে	Snatched
কারবার	Business
অমঙ্গল	Evil
রাজ	Raj
সাড়ে	Anda
কুনাল	Kunal
পলকে	To Paul
নষ্টও	Spoiled
বেজ্জমা	Bezza
খাওয়াইছে	Fed
জাগ্রত	Awake
পেইজ	Page
লুকাইয়া	Hidden
বিসার	Bisar
ঘুষখোরদের	Bribe-takers
সুশিক্ষাই	Good education
নুরু	Nuru
গেস্টিক	Gestic
শামিম	Shamim
বোতলগুলা	Bottles
খাইলি	Eating
করটিয়া	Cortia
ভি‌ডিও‌টি	V. DO T.
মোচর	Mochar
সবকয়টিই	All of them.
কাটাচমচে	Cut-out
ভোক্তা	Consumer
ডিবি	DB
ট্রানজিটের	Transit
হাতদিয়ে	By hand
ললনা	Lolna
মরবি	Will die
ফুটেজে	In the footage
বল	Ball
পর্যন্তই	Until then.
অসংখ্য	A lot.
হায়দরাবাদি	Hyderabadi
সবাইর	Everyone
গুটখাখোরদের	Gutkhakhors
পলিব্যাগে	In polybags
আয়নাতে	In the mirror
ল্লা	Lulla
জানারই	To know
খমতার	Khamtar
তামশা	Tamsha
সাব্যস্ত	Convicted
ম্যাজিসট্রেট	Magistrat
বোঝবেন	Understand
মন্ত্র	Mantra
দেরী	Late
শাট	Shut
ভাভ	Bhav
আমৃত্য	Amrritya
সমঝোতা	Compromise
ভাইতো	Brother
সুনে	Sune
কেল্লায়	In the fort
শয়তানকে	To the Devil
শয়তানের	Satan's
দোসা	Dosa
অভিধান	Dictionary
ঘুষের	Bribery
চাঁদা	Donations
পেটেট	Petet
মাও	Mao
বারবে	Barbe
ফেরাউনের	Pharaoh's
12000টাকা	Tk 12000
বাচ্ছাকে	To the child.
চারা	Seedlings
ক্রেস্ট	Crest
দেশব্যাপী	Nationwide
কাষ্টমার	Customer
আত্তহারা	Atahara
শিরকি	Shirky
সভ্য	Civilized
অবেলা	Abela
সুখই	Happiness
ইউটিউবিং	YouTube
কিমি	Km
একজনের	One
তরুন	Young
কোনাপাড়া	Konapara
সন্ত্রাসীদের	Terrorists
হয়েছিলো	It was
সঠিকভাবে	Correctly
নই	Not
বিচারটা	The trial
যাইতেন	He would go
এবং	And
আল্লাহ্‌	God
খেইতে	To eat
সাস্থ	Health
মতামত	Views
তিব্র	Intense
প্রাণীকে	To the animal.
মহুরতে	Mahoute
সেভাবে	That way
রেমপোতে	In Rempo
যৌক্তিকতাই	Rationale
নেটও	The net
৮৯	- 89
সেটার	Of that
কৃতিত্ব	Credits
গেজাইতে	In Gezai
নাপুলিতানো	Napulitano
রিটার্ণ	Return
ডেমরা	Dems
পেড়িয়ে	Pasting
একরাত	One night
দুর্গাপুর	Durgapur
জমায়	In submissions
ব‌ঞ্চিত	Deprived
ট্রেইনিং	Training
কাটছাট	Cuts
আজিজ	Aziz
লোকাল	Local
বারছে	It's
ফেললো	Dropped
হোওয়া	Howa
সাহাকে	Sahake
গণমাধ্যমই	The media
এক্সারসাইজ	Exercise
জানানো	Informed
চু	Chou
ইগনর	Ignor
নিশ	Niche
কল্যাণপুর	Kalyanpur
পারব	I can
যোগ	Add
আমাল	Amal
নিঞ্জা	Ninja
ওখানেও	There too.
রাইখা	Raikha
তাড়ি	Toddy
অবধারিত	Inevitable
টাপুর	Tapur
পূর্ণ	Full
জ্বালায়	Burning
নিরুপায়	Discouraged
লবণ	Salt
গতিকে	Speed
সম্পুর্ন	Completely
রিকুয়েষ্ট	Request
ট্রানজিট	Transit
মুফতী	Mufti
ফ্যাক্টরি	Factory
প্রমিজ	Promise
মন্ত্রীর	The Minister
চোপড়	Chops
কালচার	Culture
নাজানি	I don't know
হামলার	Attack
সি‌কিম	C. Kim
বহোদ	Bohod
উুপরে	Above
কালোমুখো	Blackface
পরিতেছিলাম	I was wearing
জানোয়ার	Animals
গুসটি	Gusti
14কেজি	- 14KG
নস্টের	Noster
সাপ্তাহে	In the week
পৌছেছে	Arrived
একদম	Absolutely
টিটমেন	Titman
বাংলায়	In
নিশ্চই	Of course.
সেলিনা	Selina
দেকে	Deke
বায়্যিনাহ	Bayynah
সন্তানেরা	Children
নলার	Nolar
হিংসা	Violence
থুতু	Spit
অনাবিল	Non-existent
পেটিস	Pettis
ইয়াখ	Yak
স্টেশনে	Station
করবো	I will
সর্দি	Cold
সৎসাহসী	Brave
কিনতু	But
প্রতিউত্তর	Response
রিস্কি	Risky
হালাগো	Halago
দেকি	Deki
কোম্পানী	Company
গুলিতে	Shootings
কেন্দ্র	Center
হোগা	Hoga
পীড়া	Pain
বাচি	Survival
এশিয়ানদের	Asians
কাটাচ্ছে	Cutting
প্রকাশ্য	Public
বচ্ছান	Child
চলতেছে	It's going on
মুরিদ	Murid
ধারের	Borrowing
ভাইটির	Brother's
সুলভ	Available
হ‌য়ে‌ছে	Yes it is
তৈলাক্ত	Oily
ভাব	Thoughts
দেখিয়েছেন	Shown
থাকিনাই	I didn't
হস্পিটালিটি	Hospitality
কমেডিয়ান	Comedians
বর্ডারের	Borders
গরীর	Gori
দেখেন	See
ধরণের	Of
মাদ্রাসা	Madrasas
দিকে	Towards
উনারা	They
অতিথি	Guest
নিতি	Niti
এক	One
হয়েছিস	You've been
তবিব	Tabib
পাহাড়	Mountains
নয়	Not
হেকারদের	Hackers
হিন্দুরা	Hindus
কুইসিন	Quisin
খেলে	Playing
ডিপাড়্রট	Dippert
্35	- 35
হাটেন	Walking
5পিছ	- 5 Back
পলারা	Paula
যামু	Jamu
লাংটা	Langta
বাচ্চাকাচ্চা	The baby
পশ্চিম	West
ক্যান্টালোপ	Cantaloupe
ভাল্লাগতো	Vallagato
ফটোগ্রাফি	Photography
প্যানেল	Panel
জায়	Zay
পরামানু	Paramanu
