असलामवेल्कम	AslamWelcome
बेयपाम	Beypam
उनसे	from them
समग	Samag
गुल्लू	Gullu
इटनय	Itnay
काफिर	kafir
भाईजान	Brother
गायब	missing
लगाके	Put it
थोखिन्डी	Thokhindi
बाधी	Barrier
केह	Keh
त्यो	They
दाना	corn
क्रोगेर	Kroger
मोह	infatuation
आसन	seat
कोहरे	Fog
खात्मा	End
लिये	For
धर्मा	Religion
हाश	Hash
भक्तो	Devotees
भगबान	God
पलट	upset
चिपके	Glued
रेहना	Rehna
भेजे	Sent
विदेशो	Foreign Abroad
बाज	eagle
निन्टेंडो	Nintendo
सुभाष	sweet speaking person
बैगन	brinjal
अस्स्लामलाइकुम	Assalamalaikum
चलेगी	Will work
क्रूउउउ	Crow
चाली	clever
बेरी	jujube tree
कमाल	perfection
क्राई	Cry
बेहिसाब	countle
उचाले	Raised
पैन	pan
मरोज	Maroj
क्सक्सक्स	xxx
झोल	broth
वापस	returned
लाम्बी	Lambi
ब्रह्मांड	cosmos
विपानिन्सन	Wipaninson
शपथ	oath
पीता	turmeric
पूछना	to ask
हैंडल	handle
लोगा	People
खाक	Floating around
नाही	No
उस्स्र	Ussr
मोहबत	Love
निंद	Slanderous
खॉ	O o
नौकारी	Job
विद्या	knowledge
कबका	When
इरर	Error
मांझी	Manjhi
जल्द	quickly
निईई	Niye
साबित	full
बघेल	Baghel
भारी	heavy
सनेज	Sunage
दुर्लभ	scarce
लोरे	Lore
मुहा	bribe
आजतक	Till date
वॉक	walk
बेया	Beya
लेटा	Lay down
अटारी	thatched upper room
यूही	Yuhi
लियो	Leo
सोना	gold
एवरयोन	Averyon
कराओगे	Will you do it?
ममला	Mama
कमा	conciliate
फोड़नेका	To break
सरी	Sorry
चीट	Cheat
हुर्र	Hurr
एटलीस्ट	Atlast
धडकना	beat
चुली	Chuli
कानून	law
गोबलिफाज	Goblifaj
चेप	viscous substance
हम	we
आया	nurse
हामरी	Ours
मवाहाहाहहाहा	Mawahha
आरहा	Coming
पिछवाड़ा	The back portion of a house or any area
बिक	Sold
सोमडे	Monday
जहान	the world
बजाये	Instead of
परेगा	Will be available
हिंद	India
संगम	confluence
तेज	warmth
गणतंत्र	republic
मेयो	mayo
कामयाब	successful
पन	Indicating quality or condition and corresponding to English suffix ‘hood’
केजरी	Kejri
हाहाह	Hahah
खोदा	Dug
स्टार्ट	Start
कान्ही	
लेगे	Take
जये	Go
नया	New
कजरीवाल	Kajariwal
विल	will
शरम	shame
मालभदा	Freight
कैटरीना	Katrina
भुवनेश्वर	Bhubaneswar
मेरी	My
ओहिर	Ohir
चोटिया	Peak
फटके	Cracks
इस्ली	Isli
स्वाच्भरतभियन	Swachhbharat Bhian
ठुम	Thum
देचिका	Dechika
पंखा	fan
कार्लेटा	Carletta
चलाता	Runs
स्कूटर	scooter
शीर	milk
ज़ेम्पर	Zemper
सेवक	servant
बुजती	Extinguish
पिडली	Pidli
नेता	leader
भीया	Bhiya
सांगा	Tell me
राखो	Keep it
प्रोफ	Prof.
अय्यो	Ayyo
पेशाब	urine
एंजेल	Angel
पर	given to
डीयर	Dear,
अज्हू	Azhu
नेहिन	Not
प्रसाद	propitiatory offering or gift
उये	Uye
रहती	Living
तेराय	Your
इसलिया	That's why
मझे	Me
बितवा	Divide
उशे	Ushe
वन	forest
नारे	Slogans
कारी	effective
कंड	smut
चेहरा	face
चिपक	adhesion
समय	time
चुनने	Choose
लगता	Feel
निकल	start
उदरवाडी	Udarwadi
बरना	Barna
आंशी	Anshi
तुझसी	Your
एंट्री	Entry
मुसलमान	Muslim
फितरा	Fitra
सहरो	Saaro
ल्डकियो	Girl
रेगा	Rega
मीलू	Milu
मंदिर	temple
कालते	Time
भेनो	Send it
भाय	Brother
काके	Uncle
पास	near
बाकर	Baker
पिया	lover
करवाने	Have
फायेदा	Benefits
बाइक	bike
निराश	disappointed
नकली	mock
नमाज	Prayers
भ्रोसे	Trust
थंग	Thang
चबद	Chabad
ह्यूम	Hume
ग्रिप	Flue
गडगे	Gadge
झोली	small bag
प्ता	PTA
करोड	Crore
तुकायी	Tukai
स्कतेय	It can
रीवाचिंगाफिनल	Rewachingafinal
रेआ	Rea
जबत्दस्त	Tremendous
सुनील	Sunil
चालता	Walk
बसप	BSP
गमबला	Gumbla
कहपे	Where
यद	However
कार्वटे	Carvate
हिलेगा	Will move
मनमे	In the mind
संभल	Steady
अचा	Good
हाये	Hi,
बैथने	Bethne
रोहित	red
मत्ल्ब	Meaning
सनडे	Sunday
गिरेन्द्र	Girendra
ऐला	Alla
तिलक	Mark of sandal paste on the forehead
विद्युत	lightning
सव	All
देकुंगी	Will see
सहब	Sahab
वाहा	Wow
र्खियो	Keep it
डॉन	don
दया	mercy
चे	Che
महोदया	madam
फिल्मो	Movies
मेहदी	Mehdi
ख्ते	Khte
होती	
कतम	Finished
लीटर	Liter
काफा	Kafa
छिज़	Chiz
बुलाने	Call
पुच	Pooch
आग्राही	Forwards
तारिका	starlet
मैमी	Mommy
जानकी	Janki
रुख	posture
आज़ाद	free
कीडे	Insects
दूसरो	Others
इशिता	Ishita
गाग	Gogh
एक्टर्स	Actors
खिलाड़ो	Players
कहिका	Kahika
थापड	Slapping
यूहू	Yuhu
पब	pub
बंदर	monkey
गिरवी	pledge
मम	Mama
लाओगे	Will you bring
हेक्कीह	Hekkih
दिखते	Look
सम्बन्ध	relationship
इज्जाजत	Respect
ब्लिंड	Blind
घरवालों	Family members
शशि	the moon
निकलता	Implies
फोजे	Foje
यादा	More
अतिक्रमण	infringement
फिरेदूले	Firedaule
टॉवर	Tower
कुट्टे	Dogs
बोलरे	Speak
देता	Give
इडमुबारक	Eid Mubarak
कहान	Where
जन्नत	heaven
सिखाया	Taught
रेहने	Stay
कुचनी	Crunchy
गावो	Village
निर्धारण	determination
समझाओ	Explain
शब्बाश	Shabbash
मुल्ले	Mulle
रेकस्ट	Request
बाचोगे	You will survive
वाऊ	Wow
झानको	Jhanko
व्हर	Whar
वाहवाह	Wow
सेवा	service
शेयर	share
फेकु	Throw
क्रदेगा	Will do
तप्क्ते	Heat
ससुराल	father-in-law’s house or family
टेलीचक्कर	Telecirculation
प्रजाति	race
कीचड़	mud
अनिवार्या	Mandatory
खुशी	pleasure
जररत	Need
दांके	Stings
बाईईई	Baiee
एच्चन	Achan
मीरा	Merry
स्टफ	Stuff
लगडा	Lag
डुंगा	Dunga
फ्रर	Frer
द्खना	Look at
कुच्च	Kutch
एस्तू	Estu
रख्ते	Keep it
मेहुल	Mehul
डोंग	Dong
तुमेह	You
दुसमनी	Dusmani
भाईई	Brother
फेइन	Fein
बोल्डस्लोव	Boldslov
अबकिबारबेदीसरकार	Abkibarbedi Sarkar
कसिस	Kasis
सवधान	Be careful
सुव्वार	Convenience
ठेकेदार	contractor
बिमर	Bimer
हुह	Huh
दय्यय्य	Dayayya
तरियादि	In the meantime
हुर्कुच्	Hurkuch
रौनक	Raunak
वचनो	Promises
दिन	Day period of 24 hour
लुलु	Lulu
फिरर	Then
रामल्लाह	Ramallah
मिंट	Mint
जान्ती	Know
बढ़ना	to increase
स्मजते	Understand
ओवर	Over
कप्दो	Clothes
बाँटा	share
हेंदू	Hendu
पौंगा	Punga
लोविंग	Loving
आँगी	Augi
नमस्कार	Hello
पुछने	Ask
जुमले	Jumla
दांगो	Dango
फेरते	Turn around
जूग	Jug
क्रेगा	Craiga
कांगरेस	Congress
सोहरान	Sohran
हप्पप्प	Happapp
ताकियो	Takio
जानो	Know
जेनरटन	Jennerton
फैल्री	Failure
नेहे	Nehe
मुवी	Movie
पेहेना	Wear it
एली	Eli
जुडेंगे	Will join
केजिये	Do it
हाहा	loud laughter
बच्चपान	Childhood
बचेगा	Will survive
रज्जी	Rajji
आँख	eye
सूफ	Suf
दिलाये	Give it
जोह	Joh
आखो	Look at it
मुछे	
डाल	branch
तोबा	Vow to do no more
निकलकर	Get out
महिनो	Months
लोव	Lowe
बधेगी	Will increase
वेनाश	Destruction
तुझ	Thee
मेरिया	Maria
उत्तम	best
रेगी	Reggae
थोकथोका	Wholesale
जल्दी	haste
बचाये	Save
किआ	Kia
चलांग	Chalang
रुपैया	Rs.
यार्काम	Yarkam
जगरूक	Jagrook
कैट	Kat
समा	Time
कारगिल	Kargil
तोड़ना	to break
जोतिश	Jotish
एस्लमा	Asselma
क्वेस्शन्स	Questions
मैया	mother
लनस्मुम्बाई	Lansmumbai
बतेगा	Will tell
मशीन	machine
इमन्दर	Imandar
ज़मीर	conscience
अमी	nectar
डोसा	dosa
हाट	a periodic market
टे	Te
अविनाशकिंकु	Avinashkinku
धुका	Fog
नोआह	Noah
चक्ते	Rashes
इतना	as much
हिंदू	Hindu
बीकी	Biki
कितना	How much
कामेना	Kamena
पाईदास	Paidas
दाद	ringworm
चाई	seed of tamarind
जुम्मा	Friday
टिएन	Tien
मेहंगा	Expensive
मंगनी	Matchmaking
रिटायर	Retire
अडम	Adam
झमेला	imbroglio
सुशीला	of good disposition
माकिन	Makin
अंधों	The blind
नवतंकी	New
गिर	fall
याह	The eleventh month of Vikrami calendar
रन	runs in cricket
मुच्ची	Much
लीयु	Liu
अरीरी	Ariri
पढ़ते	Read
भिकहिरियो	Beggars
तुमरा	Yours
चोरकर	Thief
राजनीत	Politics
केक	Cake
अखीर	Akhir
चंदा	subscription
तोजवान	Tojawan
सोनरीएंडो	Sonariendo
आके	Come on.
कमल	lotu
बेकार	unemployed
जूबा	Juba
कर्वोगा	Will do it
क्रू	Crew
हड	Hadd
आयेग	Will come
जबानी	Verbal
चिल्लना	Scream
चाइना	China
सल्लुमेया	Sallumeya
गे	gay
जस्त	zinc pewter
क्याआ	What?
पूरने	Old
मांगने	Seeking
हाजी	One who has been on pilgrimage to Mecca
देना	To give
बोलियो	Speak
राखीये	Keep it
सिख	Sikh
केएए	Kaa
समजा	Understand
थीई	Thei
नेवर	jingling anklet
प्रशांत	tranquil
गता	cardboard
एडमिन	Admin
दिखा	show
ऑस्विंज़	Ausvinz
ठाकुर	deity
तकलीफो	Trouble
करते	Do
बीयर	beer
गंदू	Gandu
शाना	Shana
बारिश	rain
चल्टी	Chalti
बॉलर	Bowler
चादर	sheet of cloth
हब	hub
पाड़ो	Read
माल	good
हिगाय	Higai
दीवाली	Diwali
केश	hair
गोड	Sweet
मेट्रो	subway
मायूस	disappointed
मत्लो	Matlo
शर्त	condition
कोंसा	Which one?
ज़िंदेगी	Life will come to life
करेब	Will do it
